Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	BW2	IJ2	JH2	LC2	MT2	RM2	SM2	TD2																		
110	HL	21.2	16.89454	0.580392408	a	0.346122365	19.216	4.023	1	0	1	1	0	0	1	1																		
111	HL	16.3	15.90436	0.554876386	b	0.18415242	21.136	1.561	0	0	0	0	0	0	0	0																		
112	HL	13.4	15.16630	0.524069868	a	0.112090395	21.149	2.655	0	0	0	0	0	0	0	0																		
113	HL	20.5	16.76805	0.577892617	a	0.319835911	21.270	4.427	0	1	0	0	0	0	0	0																		
114	HL	18.9	16.46190	0.571009869	c	0.26371643	21.089	6.131	0	0	0	0	0	0	0	0																		
115	HL	9.5	13.87049	0.428830629	b	0.042161373	21.219	8.692	0	0	0	0	0	0	0	0																		
116	HL	23.4	17.26650	0.586727525	a	0.435674792	21.141	10.573	1	0	0	1	1	0	0	1																		
117	HL	18.1	16.29897	0.566814521	b	0.237710373	20.962	12.404	0	1	1	0	0	0	0	0																		
119	HL	15.8	15.78699	0.550780748	a	0.170483367	21.097	15.467	0	0	0	0	0	0	0	0																		
120	HL	9.7	13.94898	0.436656526	c	0.045010698	20.820	17.486	0	0	0	0	0	0	0	0																		
121	HL	19.5	16.57964	0.573803972	b	0.284117388	21.138	19.032	0	0	0	0	0	0	0	0																		
122	HL	14.0	15.33132	0.532084945	c	0.125575955	20.964	21.258	0	0	0	0	0	0	0	0																		
123	HL	7.1	12.77347	0.277816624	b	0.01404991	20.981	22.686	0	0	0	0	0	0	0	0																		
125	HL	14.8	15.54067	0.541261451	b	0.144707193	21.323	26.340	0	0	0	0	0	0	0	0																		
126	HL	17.0	16.06276	0.559992047	b	0.204169036	21.041	27.896	0	0	0	0	0	0	0	0																		
127	HL	14.5	15.46352	0.538002336	b	0.137378387	20.858	29.403	0	0	0	0	0	0	0	0																		
128	HL	16.7	15.99569	0.557881633	a	0.195464479	23.202	29.166	0	1	1	0	0	0	0	0																		
129	HL	12.8	14.99372	0.514878129	b	0.099339919	23.521	24.961	0	0	0	0	0	0	0	0																		
130	HL	17.6	16.19344	0.563879672	b	0.222147102	23.580	22.794	0	1	0	0	0	1	0	0																		
131	HL	21.5	16.94748	0.581383682	b	0.357712949	23.303	18.806	0	0	0	0	0	0	0	0																		
132	HL	20.5	16.76805	0.577892617	a	0.319835911	23.275	17.338	0	0	0	1	1	1	0	0																		
133	HL	21.6	16.96496	0.581704158	b	0.361619905	23.341	15.566	0	0	0	0	0	0	1	0																		
134	HL	19.8	16.63716	0.575100607	c	0.294607141	23.209	13.911	0	0	0	0	0	0	0	0																		
135	HL	27.8	17.91561	0.594786821	a	0.646803507	23.055	5.914	1	1	0	1	1	1	1	1																		
136	HL	9.5	13.87049	0.428830629	b	0.042161373	22.915	3.876	0	0	0	0	0	0	0	0																		
137	HL	19.4	16.56027	0.573357398	b	0.280663708	23.012	3.698	0	0	0	0	0	0	0	0																		
138	HL	20.8	16.82278	0.578997436	b	0.330971742	24.479	3.452	0	0	0	0	0	0	0	0																		
139	HL	17.0	16.06276	0.559992047	a	0.204169036	24.408	21.209	0	0	0	0	0	0	0	0																		
140	HL	20.5	16.76805	0.577892617	b	0.319835911	24.786	24.409	0	1	0	0	1	0	0	0																		
141	HL	11.0	14.42279	0.477562797	c	0.065456841	25.089	28.694	0	0	0	0	0	0	0	0																		
142	HL	15.0	15.59124	0.543323449	b	0.149696428	24.710	29.580	0	0	0	0	0	0	0	0																		
143	HL	21.6	16.96496	0.581704158	a	0.361619905	25.885	26.172	1	0	0	1	0	0	1	1																		
144	HL	10.6	14.28325	0.466567382	b	0.058808876	26.068	24.882	0	0	0	0	0	0	0	0																		
145	HL	21.9	17.01692	0.582637017	b	0.373471245	26.007	12.828	1	1	0	0	0	0	0	0																		
146	BI	7.4	12.92938	0.304896539	b	0.016954437	28.657	5.550	0	0	0	0	0	0	0	0																		
