Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	BS2	CM&SB2	GJ2	IB2	JH2	MW2	NR2	SH2	TS2																	
124	JL	17.9	16.68158	0.566135939	c	0.237658768	20.022	27.234	0	0	0	0	0	0	0	0	0																	
125	JL	18.3	16.78464	0.56840714	b	0.250936409	19.893	29.525	0	0	0	0	0	0	0	0	0																	
126	JL	14.6	15.73128	0.539345888	b	0.142045314	20.167	31.904	0	0	0	0	0	0	0	0	0																	
127	JL	19.9	17.17552	0.576099333	a	0.307753756	20.236	34.145	0	0	1	1	0	0	0	1	0																	
128	JL	19.9	17.17552	0.576099333	b	0.307753756	20.307	36.425	0	0	0	0	0	0	0	0	1																	
129	JL	12.3	14.93187	0.506216	a	0.08981524	22.441	35.523	0	0	0	0	0	0	0	0	0																	
130	JL	12	14.81671	0.500422167	c	0.083857286	22.366	33.659	0	0	0	0	0	0	0	0	0																	
131	JL	18	16.70756	0.566718647	b	0.240943611	22.491	31.785	0	0	0	0	0	0	0	0	0																	
132	JL	17.2	16.49555	0.561754748	b	0.215308085	22.204	29.614	0	0	0	0	0	0	0	0	0																	
133	JL	24.8	18.20205	0.590626957	b	0.519310101	22.066	23.655	1	0	0	0	0	0	0	0	0																	
134	JL	12.8	15.11768	0.514977328	b	0.10018049	22.476	21.395	0	0	0	0	0	0	0	0	0																	
135	JL	12.5	15.00708	0.50984775	b	0.093895915	21.999	19.481	0	0	0	0	0	0	0	0	0																	
136	JL	9.4	13.67793	0.424745775	b	0.04031762	22.294	19.352	0	0	0	0	0	0	0	0	0																	
137	JL	14.1	15.56877	0.533516539	b	0.129697122	22.088	19.213	0	0	0	0	0	0	0	0	0																	
138	JL	11.7	14.69865	0.494175146	b	0.078094393	21.806	17.161	0	0	0	0	0	0	0	0	0																	
139	JL	22.7	17.78944	0.58564483	b	0.421636406	22.120	15.000	0	0	0	0	0	0	0	0	1																	
140	JL	12.9	15.15397	0.516607527	c	0.102319065	21.635	12.888	0	0	0	0	0	0	0	0	0																	
141	JL	12.3	14.93187	0.506216	b	0.08981524	21.777	8.932	0	0	0	0	0	0	0	0	0																	
142	JL	19.6	17.10468	0.574807386	b	0.29664664	21.584	6.592	0	0	0	0	0	0	0	0	0																	
143	JL	17.3	16.52258	0.562414766	b	0.218432265	21.380	3.994	0	0	0	0	0	0	0	0	0																	
144	JL	14	15.53558	0.532273697	b	0.127294145	21.088	1.694	0	0	0	0	0	0	0	0	0																	
145	JL	19.2	17.00853	0.572983606	a	0.28216379	23.382	1.982	0	0	0	0	1	0	0	0	0																	
146	JL	17.3	16.52258	0.562414766	b	0.218432265	23.583	4.361	0	0	0	0	0	0	0	0	0																	
147	JL	13	15.18998	0.518199902	b	0.10447954	23.972	6.463	0	0	0	0	0	0	0	0	0																	
148	JL	13.7	15.43456	0.528377761	c	0.120218112	23.854	8.406	0	0	0	0	0	0	0	0	0																	
149	JL	12.5	15.00708	0.50984775	c	0.093895915	24.069	8.753	0	0	0	0	0	0	0	0	0																	
150	JL	16.5	16.30179	0.556779631	c	0.194078052	23.965	11.014	0	0	0	0	0	0	0	0	0																	
151	JL	16.2	16.21622	0.554439926	c	0.18532076	24.145	15.267	0	0	0	0	0	0	0	0	0																	
152	JL	17.5	16.57619	0.563699632	b	0.224749318	24.252	17.776	0	0	0	0	0	0	0	0	0																	
153	JL	21.5	17.53616	0.58204461	b	0.370559135	24.248	20.046	0	0	1	0	0	0	0	0	0																	
154	JL	25.5	18.33185	0.591991563	a	0.554232677	24.454	22.545	0	1	0	1	1	1	1	1	1																	
155	BI 	7.4	12.56230	0.305548447	c	0.01650831	23.470	25.281	0	0	0	0	0	0	0	0	0																	
156	JL	20.8	17.38180	0.579624392	b	0.342340237	24.766	27.542	1	0	0	0	0	0	0	0	0																	
157	JL	21.7	17.57934	0.582690105	a	0.378834488	24.549	29.505	0	1	1	1	1	1	0	0	0																	
158	JL	17	16.44101	0.560398162	b	0.209128317	24.550	31.884	0	0	0	0	0	0	0	0	0																	
159	JL	16	16.15829	0.552804009	c	0.179595907	24.745	34.105	0	0	0	0	0	0	0	0	0																	
160	JL	13.5	15.36598	0.525632724	b	0.115611268	26.862	36.267	0	0	0	0	0	0	0	0	0																	
161	JL	10.6	14.23821	0.466551143	b	0.058621396	26.857	33.421	0	0	0	0	0	0	0	0	0																	
162	JL	13.1	15.22572	0.519755588	b	0.106661939	26.648	33.183	0	0	0	0	0	0	0	0	0																	
163	JL	12.9	15.15397	0.516607527	c	0.102319065	26.976	31.250	0	0	0	0	0	0	0	0	0																	
164	JL	18	16.70756	0.566718647	b	0.240943611	27.004	29.326	0	0	0	0	0	0	0	0	0																	
165	JL	14.2	15.60173	0.53473277	b	0.132122289	26.631	27.373	0	0	0	0	0	0	0	0	0																	
166	JL	14.9	15.82613	0.542559893	a	0.149721709	26.562	25.509	0	0	0	0	0	0	0	0	0																	
167	JL	20.2	17.24530	0.577330499	b	0.319071402	26.293	23.655	0	0	0	0	0	0	0	0	0																	
168	JL	19	16.95970	0.57202559	b	0.275062017	26.318	21.633	0	0	0	0	0	0	0	0	1																	
169	JL	21	17.42643	0.580342582	b	0.350284752	26.697	15.704	1	1	0	1	0	0	0	0	0																	
170	JL	18.5	16.83533	0.569485243	b	0.257713696	26.427	13.830	0	0	0	0	0	0	0	0	0																	
171	JL	19.6	17.10468	0.574807386	a	0.29664664	26.249	11.728	0	0	1	0	1	1	0	1	0																	
172	JL	15.1	15.88831	0.544594637	c	0.154951139	25.986	10.032	0	0	0	0	0	0	0	0	0																	
173	JL	10.9	14.36836	0.474918602	c	0.063675029	25.811	8.020	0	0	0	0	0	0	0	0	0																	
174	JL	21.9	17.62212	0.583316524	b	0.387204672	26.140	6.116	0	0	0	1	0	0	0	0	0																	
175	JL	28.1	18.78463	0.596088865	b	0.694410255	25.667	4.153	1	0	0	0	0	1	0	0	1																	
176	JL	13	15.18998	0.518199902	c	0.10447954	25.484	1.922	0	0	0	0	0	0	0	0	0																	
177	JL	16.1	16.18735	0.55362983	c	0.182447014	28.002	1.962	0	0	0	0	0	0	0	0	0																	
178	JL	18.4	16.81006	0.56895081	b	0.254313497	27.932	4.351	0	0	0	0	0	0	0	0	0																	
179	JL	13.7	15.43456	0.528377761	c	0.120218112	28.160	6.552	0	0	0	0	0	0	0	0	0																	
180	JL	30	19.08974	0.598335341	b	0.80737844	27.985	8.585	1	0	0	0	0	0	1	0	1																	
181	JL	9.6	13.77611	0.432806011	b	0.043157085	28.114	10.885	0	0	0	0	0	0	0	0	0																	
182	JL	19.4	17.05685	0.573910449	b	0.289358614	28.346	13.433	0	0	0	0	0	0	0	0	0																	
183	JL	20.5	17.31405	0.578504422	b	0.330600069	28.472	15.565	0	0	0	0	0	0	0	0	0																	
184	JL	17.8	16.65545	0.56554292	a	0.234396938	28.701	17.855	0	0	0	0	0	0	0	0	0																	
185	JL	20.3	17.26833	0.577727999	a	0.322890821	28.630	20.135	1	0	1	0	0	0	0	0	0																	
186	JL	18.3	16.78464	0.56840714	b	0.250936409	28.453	22.019	0	0	0	0	0	0	0	0	0																	
187	JL	22.2	17.68557	0.584221892	b	0.399938053	28.586	24.647	1	0	0	0	0	1	1	0	0																	
188	JL	17.1	16.46836	0.561082641	b	0.212206776	28.541	29.019	0	0	0	0	0	0	0	0	0																	
189	JL	21	17.42643	0.580342582	b	0.350284752	28.571	31.448	0	0	0	0	0	0	1	0	0																	
190	JL	20	17.19890	0.576516295	b	0.311502888	28.402	33.867	1	0	0	0	1	0	0	1	1																	
191	JL	16.4	16.27344	0.556014461	b	0.191136258	28.927	35.910	0	0	0	0	0	0	0	0	0																	
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
