Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AM2	AML2	JH2	JL2	LC2	MB2	PR2	GW2	HMK2	JT2	MB2	NMI2	RR2	SD2												
86	HL	22.2	13.10196	0.577518926	c	0.292885896	16.300	8.517	0	0	0	0	0	0	0	1	1	1	1	0	1	0												
87	HL	5.9	8.16025	0.153452235	a	0.003423503	16.400	12.930	0	0	0	0	1	0	0	0	0	0	0	0	0	0												
88	HL	11.1	10.51708	0.477441967	a	0.048590525	15.800	13.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
89	HL	12.6	10.98976	0.507335369	b	0.069520743	16.200	15.273	0	0	0	0	0	0	1	0	0	0	0	0	0	0												
90	HL	17.8	12.27821	0.559222144	c	0.170863459	16.400	17.333	0	0	0	1	0	0	0	0	0	0	0	0	0	0												
91	HL	15.8	11.83373	0.545226755	c	0.126503586	16.600	19.842	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
92	HL	5.8	8.09650	0.138387607	c	0.002960333	16.000	21.931	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
93	HL	7.7	9.15322	0.33660253	c	0.014347048	16.200	25.505	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
94	HL	14.2	11.43557	0.529464465	b	0.095887325	15.800	26.442	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
95	HL	17.8	12.27821	0.559222144	b	0.170863459	16.100	28.394	0	0	0	0	0	0	0	0	0	1	0	0	0	0												
96	HL	12.1	10.83876	0.498577015	a	0.062140186	16.300	30.601	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
97	HL	16.5	11.99539	0.550716399	a	0.141253822	19.400	31.587	1	0	0	0	0	1	0	0	1	0	1	0	0	1												
98	HL	10.3	10.23813	0.45602631	c	0.038902267	18.700	29.751	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
99	HL	14.7	11.56462	0.534948222	b	0.104994778	19.000	29.751	0	0	1	0	0	0	0	0	0	0	0	0	0	0												
100	HL	7.1	8.85069	0.289938647	a	0.010159904	17.500	29.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
101	HL	9.8	10.05256	0.439974967	a	0.033361586	17.800	27.457	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
102	HL	6.0	8.22293	0.167819418	b	0.003901765	18.700	27.457	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
103	HL	8.0	9.29575	0.356265326	a	0.016646694	18.400	25.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
104	HL	7.5	9.05508	0.322226619	b	0.012890386	18.600	24.899	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
105	HL	15.2	11.68935	0.539898699	b	0.114519616	18.400	23.220	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
106	HL	8.8	9.65118	0.399580485	b	0.023455252	18.300	20.877	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
107	HL	18.3	12.38152	0.562011287	b	0.183025205	18.100	18.944	0	1	0	0	1	1	0	0	0	0	1	1	1	0												
108	HL	15.7	11.81005	0.54438132	b	0.124464126	18.100	17.480	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
