Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	ES2	GH2	JH2	KW2	MJ2	TB2																				
107	HL	9	14.34233	0.406734867	c	0.037111286	19.200	11.095	0	0	0	0	0	0																				
108	HL	10	14.52873	0.447598272	b	0.051074726	19.290	10.228	0	0	0	0	0	0																				
109	HL	19	15.66430	0.570512931	c	0.253380745	19.136	5.727	0	0	0	0	0	0																				
110	HL	20	15.75505	0.574807693	a	0.284506516	19.216	4.023	1	0	1	0	0	0																				
111	HL	15	15.24608	0.542966959	b	0.146286438	21.136	1.561	0	0	0	0	0	0																				
112	HL	13	14.99291	0.518036698	a	0.103091534	21.149	2.655	0	0	0	0	0	0																				
113	HL	20	15.75505	0.574807693	a	0.284506516	21.270	4.427	0	0	0	0	0	0																				
114	HL	18	15.56865	0.565413877	c	0.224002152	21.089	6.131	0	0	0	0	0	0																				
115	HL	9	14.34233	0.406734867	b	0.037111286	21.219	8.692	0	0	0	0	0	0																				
116	HL	22	15.92367	0.581557406	a	0.352023021	21.141	10.573	1	0	0	1	1	0																				
117	HL	17	15.46752	0.559312717	b	0.196364571	20.962	12.404	0	0	1	0	0	0																				
118	HL	8	14.13395	0.34939512	c	0.024822766	20.981	14.049	0	0	0	0	0	0																				
119	HL	14	15.12402	0.531888169	a	0.123832184	21.097	15.467	0	0	0	0	0	0																				
120	HL	9	14.34233	0.406734867	c	0.037111286	20.820	17.486	0	0	0	0	0	0																				
121	HL	18	15.56865	0.565413877	b	0.224002152	21.138	19.032	0	0	0	0	0	0																				
122	HL	13	14.99291	0.518036698	c	0.103091534	20.964	21.258	0	0	0	0	0	0																				
123	HL	7	13.89770	0.265544297	b	0.014202539	20.981	22.686	0	0	0	0	0	0																				
124	HL	20	15.75505	0.574807693	b	0.284506516	20.696	24.006	0	1	0	0	0	1																				
125	HL	14	15.12402	0.531888169	b	0.123832184	21.323	26.340	0	0	0	0	0	0																				
126	HL	16	15.36026	0.551947737	b	0.17046157	21.041	27.896	0	0	0	0	0	0																				
127	HL	14	15.12402	0.531888169	a	0.123832184	20.858	29.403	0	0	0	0	0	0																				
128	HL	16	15.36026	0.551947737	a	0.17046157	23.202	29.166	0	0	0	0	0	0																				
129	HL	11	14.69736	0.477689584	b	0.066720647	23.521	24.961	0	0	0	0	0	0																				
130	HL	16	15.36026	0.551947737	b	0.17046157	23.580	22.794	0	0	0	0	0	0																				
131	HL	20	15.75505	0.574807693	b	0.284506516	23.303	18.806	0	0	1	0	0	0																				
132	HL	19	15.66430	0.570512931	a	0.253380745	23.275	17.338	1	0	0	1	0	0																				
133	HL	20	15.75505	0.574807693	b	0.284506516	23.341	15.566	0	0	0	0	0	0																				
134	HL	19	15.66430	0.570512931	c	0.253380745	23.209	13.911	0	0	0	0	0	0																				
135	HL	26	16.21922	0.590235701	a	0.508267258	23.055	5.914	0	1	0	1	1	1																				
136	HL	9	14.34233	0.406734867	b	0.037111286	22.915	3.876	0	0	0	0	0	0																				
137	HL	18	15.56865	0.565413877	b	0.224002152	23.012	3.698	0	0	0	0	0	0																				
138	HL	19	15.66430	0.570512931	b	0.253380745	24.479	3.452	0	0	0	0	0	0																				
139	HL	16	15.36026	0.551947737	a	0.17046157	24.408	21.209	0	0	0	0	0	0																				
140	HL	20	15.75505	0.574807693	b	0.284506516	24.786	24.409	0	0	0	0	0	0																				
141	HL	10	14.52873	0.447598272	c	0.051074726	25.089	28.694	0	0	0	0	0	0																				
142	HL	14	15.12402	0.531888169	b	0.123832184	24.710	29.580	0	0	0	0	0	0																				
143	HL	19	15.66430	0.570512931	a	0.253380745	25.885	26.172	1	1	1	1	1	0																				
144	HL	10	14.52873	0.447598272	b	0.051074726	26.068	24.882	0	0	0	0	0	0																				
145	HL	20	15.75505	0.574807693	b	0.284506516	26.007	12.828	0	0	0	0	0	1																				
146	BI	7	13.89770	0.265544297	b	0.014202539	28.657	5.550	0	0	0	0	0	0																				
147	HL	23	16.00232	0.584222984	a	0.388424884	28.402	7.628	0	1	1	1	1	1																				
148	HL	15	15.24608	0.542966959	c	0.146286438	28.272	10.937	0	0	0	0	0	0																				
149	HL	14	15.12402	0.531888169	b	0.123832184	28.505	12.463	0	0	0	0	0	0																				
150	HL	20	15.75505	0.574807693	a	0.284506516	28.583	16.127	1	0	1	0	1	1																				
151	HL	19	15.66430	0.570512931	b	0.253380745	28.129	18.254	0	0	0	0	0	0																				
152	HL	18	15.56865	0.565413877	c	0.224002152	28.284	20.874	0	0	0	0	0	0																				
153	HL	13	14.99291	0.518036698	b	0.103091534	28.528	22.932	0	0	0	0	0	0																				
154	HL	21	15.84137	0.578449883	b	0.317385383	28.573	25.030	0	0	0	0	0	0																				
155	HL	17	15.46752	0.559312717	c	0.196364571	28.625	27.433	0	0	0	0	0	0																				
156	HL	13	14.99291	0.518036698	a	0.103091534	27.489	29.127	0	0	0	0	0	0																				
157	HL	19	15.66430	0.570512931	a	0.253380745	26.928	22.844	0	0	0	0	0	0																				
158	HL	15	15.24608	0.542966959	b	0.146286438	30.114	29.245	0	0	0	0	0	0																				
159	HL	21	15.84137	0.578449883	a	0.317385383	30.155	25.828	1	0	0	0	1	0																				
160	HL	11	14.69736	0.477689584	a	0.066720647	30.226	24.163	0	0	0	0	0	0																				
161	HL	14	15.12402	0.531888169	c	0.123832184	29.994	22.391	0	0	0	0	0	0																				
162	HL	20	15.75505	0.574807693	b	0.284506516	30.161	20.480	0	0	0	0	0	0																				
163	HL	7	13.89770	0.265544297	c	0.014202539	29.861	20.480	0	0	0	1	0	0																				
164	HL	17	15.46752	0.559312717	b	0.196364571	30.130	18.707	0	0	0	0	0	0																				
165	HL	12	14.85130	0.500445568	b	0.084056945	30.096	16.787	0	0	0	0	0	0																				
166	HL	14	15.12402	0.531888169	b	0.123832184	30.066	15.024	0	0	0	0	0	0																				
167	HL	18	15.56865	0.565413877	b	0.224002152	30.124	12.641	0	0	0	0	0	0																				
168	HL	20	15.75505	0.574807693	a	0.284506516	29.985	10.405	1	1	0	0	0	0																				
169	HL	18	15.56865	0.565413877	a	0.224002152	29.753	8.583	0	0	0	0	0	0																				
170	HL	20	15.75505	0.574807693	b	0.284506516	29.517	6.545	0	0	0	0	0	0																				
171	HL	21	15.84137	0.578449883	b	0.317385383	29.872	3.984	0	0	0	0	0	0																				
172	HL	21	15.84137	0.578449883	b	0.317385383	29.838	2.034	0	0	0	0	0	0																				
173	HL	19	15.66430	0.570512931	b	0.253380745	31.169	2.674	0	0	0	0	0	0																				
174	HL	8	14.13395	0.34939512	a	0.024822766	31.647	12.828	0	0	0	0	0	0																				
175	HL	8	14.13395	0.34939512	b	0.024822766	31.677	14.532	0	0	0	0	0	0																				
176	HL	16	15.36026	0.551947737	b	0.17046157	31.808	16.285	0	0	0	0	0	0																				
177	HL	17	15.46752	0.559312717	b	0.196364571	31.337	17.939	0	0	0	0	0	0																				
178	HL	18	15.56865	0.565413877	b	0.224002152	31.602	21.701	0	0	0	0	0	0																				
179	HL	15	15.24608	0.542966959	b	0.146286438	31.801	27.305	0	0	0	0	0	0																				
180	HL	14	15.12402	0.531888169	b	0.123832184	32.039	29.491	0	0	0	0	0	0																				
181	HL	20	15.75505	0.574807693	a	0.284506516	33.994	29.728	1	0	1	1	0	0																				
182	HL	26	16.21922	0.590235701	b	0.508267258	33.671	24.981	1	0	0	0	1	0																				
183	HL	25	16.14984	0.588508586	b	0.466542052	33.642	19.988	1	1	1	1	0	0																				
184	HL	22	15.92367	0.581557406	a	0.352023021	33.616	15.123	0	0	0	0	0	0																				
185	HL	20	15.75505	0.574807693	c	0.284506516	33.777	13.635	0	0	0	0	0	0																				
186	HL	11	14.69736	0.477689584	b	0.066720647	33.693	10.385	0	0	0	0	0	0																				
187	HL	19	15.66430	0.570512931	b	0.253380745	33.449	8.692	0	0	0	0	0	0																				
188	HL	21	15.84137	0.578449883	a	0.317385383	33.002	3.019	1	0	1	1	0	1																				
189	HL	22	15.92367	0.581557406	a	0.352023021	35.198	7.303	0	0	0	1	0	1																				
190	HL	17	15.46752	0.559312717	a	0.196364571	35.276	10.228	0	0	0	0	0	0																				
191	HL	24	16.07761	0.586520322	a	0.426596213	35.357	13.291	1	1	1	1	1	0																				
192	HL	16	15.36026	0.551947737	b	0.17046157	35.807	26.428	0	0	0	0	0	0																				
193	HL	15	15.24608	0.542966959	c	0.146286438	35.451	28.103	0	0	0	0	0	0																				
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
