Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AC1	BB1	CK1	CP1	IP1	IS1	JH1	KT1	LT1	NW1	TC1	TH1	VH1														
88	SS	19.6	19.85380	0.509224243	b	0.305038539	40.491	24.896	1	0	0	0	0	0	0	0	0	1	0	1	0														
89	SS	19.5	19.81810	0.509335284	a	0.301456597	10.950	19.439	0	0	0	0	0	1	0	0	0	0	0	0	0														
90	SS	19.1	19.67343	0.50972913	a	0.287326806	31.485	18.010	0	0	0	0	0	0	0	0	0	0	0	0	0														
91	SS	19.6	19.85380	0.509224243	b	0.305038539	15.604	24.124	0	0	0	0	0	0	1	0	0	0	0	0	0														
92	SS	19.3	19.74614	0.50954254	b	0.294352077	5.985	5.588	0	1	0	0	0	0	0	0	0	0	0	0	0														
93	SS	19.6	19.85380	0.509224243	b	0.305038539	21.333	8.969	0	0	0	0	0	0	0	0	0	0	0	0	0														
94	SS	20.2	20.06426	0.508462069	a	0.326944785	34.676	15.691	0	0	0	0	0	0	0	0	0	0	0	0	0														
95	SS	20.8	20.26857	0.507553054	b	0.349559468	40.189	12.707	0	1	0	0	1	1	1	0	0	1	0	1	0														
97	SS	20.4	20.13303	0.508174247	a	0.334404455	21.516	24.790	0	0	1	0	0	1	1	0	0	1	0	1	1														
98	SS	19.9	19.95982	0.508862993	b	0.315902908	2.176	22.800	0	1	0	0	1	1	1	0	0	0	0	0	0														
99	SS	20.2	20.06426	0.508462069	a	0.326944785	9.890	8.032	0	0	0	0	0	0	0	0	0	0	0	0	0														
101	SS	20.6	20.20113	0.507870978	b	0.341942721	22.281	17.218	0	0	0	0	0	0	0	0	0	0	0	1	0														
102	SS	20.9	20.30205	0.507388833	b	0.353397235	10.020	9.751	0	0	0	0	0	0	0	0	0	0	0	0	0														
103	SS	20.7	20.23493	0.5077138	b	0.345741292	11.095	21.361	0	0	0	0	1	1	1	0	0	0	0	0	0														
104	SS	20.9	20.30205	0.507388833	c	0.353397235	35.433	19.951	1	1	1	1	1	0	0	1	1	1	1	0	0														
105	SS	21.3	20.43437	0.506698976	a	0.36894392	4.585	14.658	0	0	0	0	0	0	0	0	0	1	0	0	0														
