Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AB2	BC2	CB2	CN2	JH2	KB2	MMP2	PS2	PW2	SC2	ST2															
78	SP	13.8	9.78655	0.533273269	b	0.078059776	13.746	20.610	0	0	1	0	1	0	0	1	0	1	0															
79	SP	13.8	9.78655	0.533273269	b	0.078059776	13.735	18.820	1	1	0	0	0	1	0	0	0	0	0															
80	SP	14.8	10.01174	0.528874718	b	0.091091003	14.324	16.770	0	0	0	0	0	0	0	0	0	0	0															
81	SP	12.9	9.56946	0.537659552	b	0.067245628	13.615	15.280	0	0	0	0	0	0	0	0	0	0	0															
82	SP	12.4	9.44221	0.540300012	b	0.061608698	13.713	14.970	0	0	0	0	0	0	0	0	0	0	0															
83	SP	13.3	9.66775	0.535655302	b	0.071945585	13.696	11.920	0	0	0	0	0	0	1	0	0	0	1															
84	SP	14.6	9.96794	0.529718392	b	0.088398739	13.486	10.180	0	1	1	0	0	0	0	0	0	0	0															
85	SP	9.2	8.48139	0.56211901	c	0.031692832	13.975	8.360	0	0	0	0	0	0	0	0	0	0	0															
86	SP	9.9	8.71744	0.556419462	c	0.037338043	13.465	6.560	0	0	0	0	0	0	0	0	0	0	0															
87	HL	7.7	9.60000	0.33541003	c	0.014994038	12.955	4.820	0	0	0	0	0	0	0	0	0	0	0															
88	HL	14	12.20000	0.528400214	a	0.09923589	13.054	4.670	0	0	0	0	0	0	0	0	0	0	0															
89	HL	7	12.00000	0.269770628	c	0.012458389	12.754	4.620	0	0	0	0	0	0	0	0	0	0	0															
90	SP	8.6	8.26431	0.567591327	b	0.027247646	13.949	3.820	0	0	0	0	0	0	0	0	0	0	0															
91	SP	11.1	9.08572	0.547987669	c	0.048179886	13.739	2.120	0	0	0	0	0	0	0	0	0	0	0															
92	HL	20.3	13.70000	0.57284872	a	0.25400512	15.231	1.620	0	0	0	1	0	0	1	0	0	0	0															
93	SP	13.8	9.78655	0.533273269	c	0.078059776	16.272	5.860	0	0	0	0	0	0	0	0	0	0	0															
94	SP	12.7	9.51916	0.538696983	b	0.064959192	16.313	10.120	0	0	0	0	0	0	0	1	0	1	0															
95	SP	13	9.59432	0.537149839	b	0.068404714	16.236	12.460	0	0	0	1	0	0	0	0	0	0	0															
96	SP	11.6	9.22754	0.544876457	b	0.053136122	16.251	14.060	0	0	0	0	0	1	0	0	0	0	0															
97	SP	10.7	8.96758	0.550635254	b	0.044401393	16.272	16.140	0	0	0	0	0	0	0	0	0	0	0															
98	SP	11.3	9.14320	0.546718018	a	0.050131218	16.589	17.910	0	1	0	1	1	0	0	0	0	0	1															
99	SP	11.5	9.19967	0.545482184	c	0.052124082	16.307	19.810	0	0	0	0	0	0	0	0	0	0	0															
100	SP	9.1	8.44621	0.562990128	b	0.03092684	16.567	25.930	0	0	0	0	0	0	0	0	0	0	0															
101	SP	12.5	9.46807	0.539759245	a	0.062714991	16.284	27.700	0	0	0	0	1	1	0	0	0	0	0															
102	SP	15.5	10.16049	0.526050543	b	0.100854528	16.585	27.830	0	0	0	0	0	0	0	0	0	0	0															
103	SP	14.6	9.96794	0.529718392	b	0.088398739	16.302	29.560	1	0	1	1	0	0	0	0	1	1	1															
104	SP	9.9	8.71744	0.556419462	b	0.037338043	16.319	31.340	0	0	0	0	0	0	0	0	0	0	0															
