Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AL2	BA2	CT2	GL2	JE2	JH2	KM2	KS2	RZ2	SM2
83	SS	12.3	15.23866	0.48253	c	0.08737	25.950	26.700	0	0	0	0	0	0	0	0	0	0
84	SS	9.5	13.62791	0.43045	c	0.04158	25.750	26.900	0	0	0	0	0	0	0	0	0	0
85	SS	20.3	18.36293	0.50170	c	0.29817	25.450	29.100	0	0	0	0	0	0	0	0	0	0
86	SS	16.5	17.07049	0.50291	c	0.18357	25.250	29.350	0	0	0	0	0	0	0	0	0	0
87	SS	10.1	14.00981	0.44663	a	0.05013	25.450	31.630	0	0	0	0	0	0	0	0	0	1
88	SS	20.5	18.42407	0.50142	a	0.30492	25.450	33.850	1	1	1	1	1	0	1	1	0	0
89	SS	29.3	20.65126	0.48087	b	0.66957	23.110	1.190	1	1	1	1	1	0	1	0	0	0
90	SS	9.4	13.56192	0.42737	c	0.04022	22.810	3.010	0	1	0	0	1	0	0	1	0	0
91	SS	11	14.54210	0.46494	b	0.06425	23.110	5.030	0	0	0	0	0	0	0	1	0	1
92	SS	33.7	21.52371	0.46886	a	0.90014	22.410	5.400	0	0	0	0	0	0	0	0	0	0
93	SS	26.5	20.02492	0.48833	a	0.53934	23.310	10.580	0	0	0	0	0	0	0	0	0	0
94	SS	13.6	15.86517	0.49318	c	0.11366	25.950	22.330	0	0	0	0	0	0	0	0	0	0
95	SS	19.1	17.98297	0.50307	b	0.25920	23.510	12.720	0	1	0	0	1	1	0	0	0	0
96	SS	21.6	18.75000	0.49959	c	0.34325	23.710	15.270	0	0	0	0	0	1	0	0	0	1
97	SS	9.7	13.75782	0.43626	c	0.04435	23.110	17.600	0	0	0	0	0	0	1	1	0	0
98	SS	33.6	21.50518	0.46913	b	0.89456	23.910	19.780	0	0	0	0	0	0	0	0	0	0
99	SS	29.6	20.71478	0.48005	c	0.68429	21.230	1.240	0	0	0	0	0	1	1	1	0	0
100	SS	11.5	14.81929	0.47274	a	0.07277	21.230	9.830	0	0	0	0	0	0	0	0	0	1
101	SS	22.8	19.08715	0.49720	a	0.38747	21.830	15.530	0	0	0	0	0	0	0	0	0	0
102	SS	22.8	19.08715	0.49720	b	0.38747	19.300	25.520	0	0	0	0	0	0	0	0	0	0
103	SS	18.7	17.85099	0.50336	c	0.24678	19.100	29.190	0	0	0	0	0	0	0	0	0	0
104	SS	16.9	17.21986	0.50331	c	0.19441	19.500	29.490	0	0	0	0	0	0	0	0	0	0
105	SS	20.9	18.54457	0.50080	b	0.31861	19.300	34.810	0	0	0	0	0	0	0	0	0	0
106	SS	15	16.47616	0.49968	b	0.14548	16.300	35.560	1	1	0	0	1	0	0	1	0	0
107	SS	24.4	19.51008	0.49358	b	0.45028	17.100	33.730	0	0	0	1	0	0	0	0	0	1
108	SS	15.6	16.72073	0.50134	b	0.16023	17.000	31.300	0	0	0	0	0	0	0	1	0	0
109	SS	19.9	18.23883	0.50223	a	0.28490	16.200	30.600	0	0	0	0	0	0	0	0	0	0
